City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.56,94,100,3.95,TF,1697074513
1,lihue,21.9789,-159.3672,29.58,67,0,6.17,US,1697074614
2,adamstown,-25.066,-130.1015,20.68,71,2,4.53,PN,1697075095
3,bilibino,68.0546,166.4372,-6.69,84,100,1.96,RU,1697074527
4,callao,-12.0667,-77.15,18.73,77,40,4.63,PE,1697074609
5,taza,34.25,-3.75,18.65,82,0,1.01,MA,1697075096
6,kalavad,22.2167,70.3833,25.08,78,3,2.15,IN,1697075096
7,tiksi,71.6872,128.8694,-4.36,84,100,7.21,RU,1697075096
8,freetown,8.484,-13.2299,25.92,84,100,1.59,SL,1697075096
9,waitangi,-43.9535,-176.5597,13.79,80,25,3.58,NZ,1697075094
10,fale old settlement,-9.3852,-171.2468,28.91,76,32,6.91,TK,1697075097
11,sao lourenco do sul,-31.3653,-51.9783,13.57,90,100,8.28,BR,1697074894
12,benavente,42.0025,-5.6783,15.37,50,35,1.34,ES,1697075097
13,hawaiian paradise park,19.5933,-154.9731,26.73,79,75,3.6,US,1697075097
14,avarua,-21.2078,-159.775,25.03,69,100,6.17,CK,1697075097
15,ushuaia,-54.8,-68.3,4.81,75,75,12.52,AR,1697074881
16,blackmans bay,-43.0167,147.3167,15.41,57,100,0.45,AU,1697075097
17,ryotsu-minato,38.0833,138.4333,18.86,48,7,1.01,JP,1697075098
18,udachny,66.4167,112.4,1.36,74,100,5.2,RU,1697075098
19,weno,7.4515,151.8468,30.97,74,40,3.09,FM,1697074570
20,laguna,38.421,-121.4238,21.98,37,0,5.66,US,1697074623
21,bredasdorp,-34.5322,20.0403,15.49,89,100,2.55,ZA,1697074515
22,edinburgh of the seven seas,-37.0676,-12.3116,13.77,89,90,9.25,SH,1697074538
23,akjoujt,19.6969,-14.4164,30.23,14,53,1.47,MR,1697075098
24,albany,42.6001,-73.9662,12.55,80,100,1.27,US,1697074524
25,saudarkrokur,65.7461,-19.6394,-1.23,82,100,3.01,IS,1697075099
26,yanchep,-31.55,115.6833,19.78,42,0,5.23,AU,1697075099
27,stanley,54.868,-1.6985,4.33,92,0,3.09,GB,1697074544
28,codrington,-38.2667,141.9667,13.53,80,93,8.82,AU,1697075100
29,grytviken,-54.2811,-36.5092,-5.14,77,22,4.17,GS,1697074521
30,at-bashi,41.1702,75.8106,8.66,54,0,2.69,KG,1697075100
31,west island,-12.1568,96.8225,26.99,74,40,5.14,CC,1697074570
32,keflavik,64.0049,-22.5624,4.24,87,100,13.89,IS,1697074556
33,wewak,-3.5534,143.6268,28.9,73,44,3.13,PG,1697075100
34,malvan,16.0667,73.4667,26.4,84,96,2.4,IN,1697074604
35,portland,45.5234,-122.6762,16.46,86,38,3.13,US,1697074585
36,chadron,42.8294,-102.9999,17.82,59,100,3.6,US,1697075101
37,margaret river,-33.95,115.0667,17.17,46,0,2.83,AU,1697074525
38,olonkinbyen,70.9221,-8.7187,1.72,71,100,9.95,SJ,1697074526
39,port elizabeth,-33.918,25.5701,18.16,96,100,5.14,ZA,1697074260
40,tari,12.4086,4.4914,27.02,60,15,2.7,NG,1697074549
41,badger,64.8,-147.5333,-2.23,80,75,2.06,US,1697074528
42,puerto ayora,-0.7393,-90.3518,24.19,93,100,1.34,EC,1697074519
43,bayanhongor,46.7167,100.1167,3.51,63,1,0.41,MN,1697075102
44,longyearbyen,78.2186,15.6401,-4.09,58,40,7.2,SJ,1697074494
45,nova sintra,14.8667,-24.7167,23.96,69,90,2.52,CV,1697074556
46,praia da vitoria,38.7333,-27.0667,18.75,88,0,3.91,PT,1697074568
47,beckum,51.75,8.0333,19.67,73,100,5.68,DE,1697075103
48,pisco,-13.7,-76.2167,20.01,82,0,7.2,PE,1697074470
49,chu,43.5983,73.7614,17.06,31,96,4.59,KZ,1697075103
50,ubari,26.5921,12.7805,20.71,35,0,3.52,LY,1697075103
51,tamiahua,21.2667,-97.45,25.82,89,89,3.92,MX,1697075103
52,cabo san lucas,22.8909,-109.9124,30.61,77,0,8.05,MX,1697075104
53,usogorsk,63.4106,48.6872,-0.74,85,100,5.73,RU,1697075104
54,soe,-9.8607,124.284,28.95,36,1,4.8,ID,1697074518
55,le mont-sur-lausanne,46.5582,6.6315,17.62,56,41,1.94,CH,1697075104
56,dryden,49.7833,-92.7503,7.16,81,100,1.54,CA,1697075104
